B6HWY7	16
B6HWV6	11
B6HWS5	15
B6HWN7	9
B6HWC2	2
B6HW59	29
B6HW46	10
B6HW34	13
B6HW31	9
B6HW08	11
B6HW04	5
B6HVZ7	22
B6HVT9	61
B6HVP9	20
B6HVN3	19
B6HVM0	4
B6HVL5	6
B6HVJ7	74
B6HVI2	8
B6HVI0	19
B6HVG1	3
B6HVF1	1
B6HVB0	5
B6HVA9	180
B6HVA6	17
B6HVA2	15
B6HV94	11
B6HV90	4
B6HV75	14
B6HV63	40
B6HV55	16
B6HV53	35
B6HUX1	4
B6HUW4	2
B6HUW0	25
B6HUV5	69
B6HUT1	52
B6HUL2	47
B6HUK3	13
B6HUD4	3
B6HUC6	7
B6HU85	4
B6HU81	3
B6HU79	2
B6HU65	7
B6HU08	9
B6HTZ6	12
B6HTZ3	27
B6HTY2	6
B6HTW7	16
B6HTW2	26
B6HTS4	15
B6HTR9	3
B6HTQ6	73
B6HTJ1	14
B6HTG7	1
B6HTF2	16
B6HTD1	1
B6HT88	10
B6HT80	13
B6HT65	43
B6HT56	22
B6HT52	22
B6HT14	11
B6HT13	19
B6HSY0	38
B6HSP9	11
B6HSP6	125
B6HSP0	2
B6HSL9	7
B6HSL1	5
B6HSK0	47
B6HSG4	32
B6HSF8	18
B6HSC6	189
B6HSC2	8
B6HSB3	10
B6HSB0	1
B6HS95	41
B6HS65	3
B6HS60	51
B6HS27	28
B6HS26	14
B6HS06	30
B6HRZ2	28
B6HRV8	3
B6HRV2	3
B6HRU5	11
B6HRS7	25
B6HRS3	12
B6HRN6	21
B6HRL2	23
B6HRK6	9
B6HRG4	4
B6HRD3	12
B6HRD1	53
B6HRB6	3
B6HRB5	3
B6HR90	56
B6HR54	21
B6HR44	12
B6HR41	22
B6HR31	8
B6HR05	7
B6HQW3	1
B6HQV0	2
B6HQM6	57
B6HQM2	78
B6HQL4	9
B6HQL2	49
B6HQK8	22
B6HQK2	10
B6HQI8	2
B6HQI3	24
B6HQE5	9
B6HQC5	3
B6HQB6	34
B6HQA5	14
B6HQ99	39
B6HQ81	14
B6HQ74	2
B6HQ72	12
B6HQ31	7
B6HQ27	7
B6HPZ4	23
B6HPX1	7
B6HPW9	8
B6HPW0	67
B6HPS3	3
B6HPQ5	5
B6HPK8	30
B6HPI3	42
B6HPD8	16
B6HPC5	9
B6HPC1	18
B6HP95	4
B6HP94	1
B6HP84	20
B6HP66	83
B6HNV9	3
B6HNV8	49
B6HNV5	17
B6HNU9	1
B6HNT0	94
B6HNS8	1
B6HNR8	8
B6HNP4	47
B6HNL0	1
B6HNK9	9
B6HNH6	9
B6HNE2	3
B6HND6	21
B6HNB2	4
B6HNA8	1
B6HN92	12
B6HN91	6
B6HN72	24
B6HN68	6
B6HMY9	15
B6HMV2	10
B6HMV0	92
B6HMT3	22
B6HMP0	8
B6HML9	17
B6HML2	23
B6HMK3	14
B6HMJ2	4
B6HMG3	158
B6HMF0	4
B6HMB8	121
B6HMB6	9
B6HM90	13
B6HM87	16
B6HM85	7
B6HM84	15
B6HM79	51
B6HM76	4
B6HM68	62
B6HM56	30
B6HM18	14
B6HLS2	40
B6HLQ9	183
B6HLQ8	2
B6HLJ3	24
B6HLH3	28
B6HL89	36
B6HL86	2
B6HL82	35
B6HL56	19
B6HL52	13
B6HL44	1
B6HL36	35
B6HL34	9
B6HKZ2	5
B6HKY3	42
B6HKX8	31
B6HKW0	11
B6HKV5	8
B6HKU5	75
B6HKQ9	20
B6HKP8	7
B6HKP1	67
B6HKK4	8
B6HKJ0	7
B6HKH7	31
B6HKF3	9
B6HKF2	40
B6HKE2	6
B6HKD7	12
B6HKC1	10
B6HKB3	15
B6HKB0	49
B6HKA4	3
B6HKA3	4
B6HK97	7
B6HK95	3
B6HK94	13
B6HK87	31
B6HK33	19
B6HK25	24
B6HK24	14
B6HK01	23
B6HJY7	17
B6HJY4	18
B6HJX4	15
B6HJW7	53
B6HJT0	25
B6HJS6	14
B6HJS5	16
B6HJR0	33
B6HJM4	3
B6HJK4	1
B6HJI7	6
B6HJG8	26
B6HJG6	1
B6HJG0	20
B6HJF1	43
B6HJB2	18
B6HJ93	4
B6HJ84	8
B6HJ47	8
B6HJ39	2
B6HJ17	74
B6HIZ1	1
B6HIY1	50
B6HIV6	15
B6HIV5	45
B6HIQ0	13
B6HIP1	2
B6HIM3	12
B6HIL8	3
B6HII9	11
B6HIH9	1
B6HIH8	63
B6HIF9	24
B6HIF2	25
B6HIF1	55
B6HID4	49
B6HIC8	4
B6HIB6	19
B6HIA3	25
B6HIA0	5
B6HI82	3
B6HI78	64
B6HI56	25
B6HI29	3
B6HI12	88
B6HHZ2	2
B6HHR8	21
B6HHR2	2
B6HHH9	1
B6HHG7	11
B6HHF9	42
B6HHF4	23
B6HHF2	5
B6HHD9	5
B6HHC7	15
B6HHC1	45
B6HHA3	78
B6HH82	15
B6HH69	32
B6HH57	7
B6HH54	18
B6HH46	233
B6HH17	6
B6HGX9	2
B6HGU9	29
B6HGR3	6
B6HGQ2	10
B6HGP7	3
B6HGP0	10
B6HGK9	6
B6HGK2	22
B6HGJ5	20
B6HGI2	30
B6HGH6	16
B6HGH2	7
B6HGF5	7
B6HGD2	1
B6HGB4	8
B6HGA8	16
B6HGA1	3
B6HG52	1
B6HG17	6
B6HG11	88
B6HG09	6
B6HFY4	8
B6HFS8	8
B6HFQ9	20
B6HFP3	20
B6HFP2	7
B6HFM1	10
B6HFK7	2
B6HFJ2	8
B6HFJ1	18
B6HFI9	2
B6HFG4	20
B6HFF0	19
B6HFD9	25
B6HFD8	6
B6HFA5	35
B6HF93	20
B6HF89	5
B6HF85	53
B6HF83	6
B6HF73	6
B6HF70	39
B6HF58	6
B6HF41	10
B6HF29	13
B6HF19	11
B6HF13	9
B6HEZ0	19
B6HEX8	29
B6HEW4	1
B6HEW1	91
B6HEV7	13
B6HEU0	38
B6HET0	9
B6HES7	23
B6HES3	17
B6HES2	41
B6HEQ7	33
B6HEP9	3
B6HEP6	7
B6HEP2	1
B6HEP1	11
B6HEN5	28
B6HEN3	6
B6HEN2	20
B6HEM1	15
B6HEM0	27
B6HEL3	8
B6HEK2	15
B6HEJ9	26
B6HEI5	4
B6HEI3	1
B6HEH2	79
B6HEG9	47
B6HED1	6
B6HEC7	60
B6HEB0	39
B6HE87	9
B6HDZ4	5
B6HDY6	62
B6HDY4	1
B6HDY3	112
B6HDW1	84
B6HDW0	2
